land_area_acres,soil_type,soil_ph,water_source,irrigation_availability,season,investment_budget,resource_intensity,previous_crop,current_crop,soil_health_score,recommended_crop,match_percentage
1,Sandy,6.4,Rainfed,Available,Summer,Medium,Low Input,Rice,Rice,89,Green Gram (Moong),98
8,Sandy,6.2,Rainfed,Available,Summer,Medium,Low Input,Wheat,Wheat,89,Green Gram (Moong),98
3,Clay,7.0,Rainfed,Available,Summer,Low,High Input,Millet,Millet,80,Sunflower,97
7,Sandy,6.9,Canal,Available,Rabi,High,Fertilizer Usage,Wheat,Rice,97,Millet,98
4,Sandy,6.8,Canal,Limited,Rabi,Low,Low Input,Maize,Wheat,89,Millet,98
3,Clay,5.9,Canal,Available,Rabi,Medium,High Input,Maize,Wheat,65,Basmati Rice,98
3,Sandy,6.8,Canal,Available,Rabi,Low,High Input,Maize,Millet,90,Millet,98
2,Sandy,6.4,Canal,Available,Summer,Low,Low Input,Millet,Rice,90,Sunflower,98
2,Loamy,7.1,Rainfed,Available,Kharif,Medium,Fertilizer Usage,Cotton,Millet,68,Cotton,98
6,Loamy,5.8,Rainfed,Limited,Rabi,Low,High Input,Maize,Millet,65,Mustard,98
10,Sandy,5.7,Borewell,Available,Summer,High,Low Input,Groundnut,Millet,59,Groundnut,98
1,Clay,6.0,Rainfed,Limited,Rabi,Medium,High Input,Millet,Groundnut,79,Mustard,97
1,Clay,6.9,Borewell,Limited,Kharif,Low,Low Input,Maize,Cotton,86,Cotton,98
8,Loamy,6.2,Rainfed,Available,Summer,High,Fertilizer Usage,Rice,Millet,87,Sunflower,98
3,Loamy,7.4,Canal,Limited,Kharif,Medium,Low Input,Rice,Millet,58,Green Gram (Moong),98
1,Sandy,6.0,Borewell,Limited,Summer,High,Fertilizer Usage,Groundnut,Cotton,80,Groundnut,98
4,Loamy,6.8,Rainfed,Available,Summer,Medium,Low Input,Wheat,Wheat,84,Green Gram (Moong),98
2,Clay,6.2,Borewell,Available,Summer,Medium,High Input,Wheat,Cotton,80,Basmati Rice,98
2,Loamy,5.6,Borewell,Limited,Summer,Medium,High Input,Wheat,Millet,57,Sunflower,98
2,Sandy,7.0,Rainfed,Limited,Summer,Medium,Low Input,Maize,Cotton,82,Green Gram (Moong),98
1,Clay,5.8,Canal,Available,Summer,High,Fertilizer Usage,Groundnut,Rice,62,Basmati Rice,98
9,Sandy,5.5,Rainfed,Limited,Summer,High,High Input,Rice,Rice,73,Millet,93
9,Loamy,6.9,Rainfed,Available,Summer,Medium,Fertilizer Usage,Wheat,Wheat,77,Green Gram (Moong),98
9,Loamy,7.3,Canal,Available,Kharif,Low,High Input,Wheat,Wheat,63,Cotton,98
2,Sandy,7.1,Canal,Available,Summer,Low,Low Input,Millet,Cotton,56,Green Gram (Moong),98
10,Sandy,6.7,Rainfed,Limited,Summer,High,Fertilizer Usage,Rice,Groundnut,81,Millet,98
9,Sandy,5.7,Borewell,Available,Summer,Medium,Fertilizer Usage,Millet,Millet,57,Green Gram (Moong),98
9,Loamy,6.1,Canal,Limited,Kharif,Low,Low Input,Wheat,Maize,84,Groundnut,98
9,Clay,6.1,Borewell,Available,Summer,Low,Low Input,Wheat,Millet,85,Sunflower,98
4,Sandy,5.6,Rainfed,Available,Kharif,Low,Fertilizer Usage,Wheat,Groundnut,58,Millet,98
4,Clay,7.1,Canal,Limited,Kharif,High,Low Input,Millet,Groundnut,65,Millet,98
9,Sandy,6.8,Canal,Available,Rabi,Medium,Low Input,Wheat,Wheat,86,Groundnut,98
5,Sandy,6.9,Canal,Limited,Rabi,Medium,Fertilizer Usage,Millet,Wheat,82,Mustard,98
4,Sandy,7.1,Borewell,Available,Kharif,Medium,High Input,Maize,Wheat,63,Millet,98
7,Clay,7.0,Rainfed,Available,Summer,Medium,Low Input,Cotton,Rice,89,Millet,98
1,Loamy,7.4,Canal,Available,Kharif,Medium,High Input,Wheat,Wheat,65,Groundnut,98
8,Sandy,7.1,Borewell,Available,Kharif,Low,Low Input,Cotton,Cotton,74,Millet,98
8,Loamy,7.0,Rainfed,Limited,Kharif,Low,Fertilizer Usage,Wheat,Cotton,89,Green Gram (Moong),98
10,Loamy,7.4,Canal,Limited,Rabi,High,High Input,Groundnut,Millet,58,Mustard,98
2,Sandy,7.5,Canal,Available,Kharif,Medium,Low Input,Wheat,Groundnut,70,Green Gram (Moong),98
6,Sandy,6.4,Borewell,Available,Summer,Medium,Low Input,Wheat,Groundnut,75,Groundnut,98
1,Loamy,7.5,Borewell,Available,Kharif,High,Low Input,Rice,Wheat,65,Millet,98
3,Sandy,5.8,Rainfed,Available,Rabi,Low,High Input,Rice,Groundnut,66,Mustard,98
3,Sandy,7.1,Rainfed,Available,Rabi,High,High Input,Groundnut,Groundnut,56,Mustard,98
5,Loamy,5.9,Canal,Available,Summer,High,Fertilizer Usage,Rice,Maize,73,Sunflower,98
1,Loamy,7.5,Rainfed,Limited,Rabi,Medium,Low Input,Wheat,Cotton,56,Mustard,98
8,Sandy,7.5,Borewell,Available,Kharif,High,Low Input,Groundnut,Maize,61,Millet,98
2,Clay,6.9,Canal,Available,Kharif,Medium,Fertilizer Usage,Rice,Cotton,83,Basmati Rice,98
10,Sandy,6.1,Borewell,Limited,Summer,High,High Input,Wheat,Millet,79,Green Gram (Moong),98
3,Sandy,5.6,Canal,Available,Kharif,Medium,Low Input,Wheat,Millet,63,Groundnut,98
7,Sandy,7.1,Rainfed,Limited,Rabi,High,Low Input,Millet,Maize,71,Millet,98
4,Clay,6.5,Borewell,Limited,Summer,Medium,Fertilizer Usage,Wheat,Wheat,83,Sunflower,97
6,Sandy,5.8,Canal,Limited,Kharif,Low,Fertilizer Usage,Rice,Millet,70,Millet,98
4,Loamy,5.7,Rainfed,Limited,Summer,High,Fertilizer Usage,Groundnut,Wheat,47,Green Gram (Moong),98
10,Clay,5.5,Rainfed,Available,Summer,Low,Fertilizer Usage,Groundnut,Groundnut,69,Millet,96
7,Clay,7.5,Canal,Available,Kharif,Medium,Fertilizer Usage,Wheat,Maize,63,Basmati Rice,98
4,Clay,7.3,Borewell,Available,Summer,Low,Fertilizer Usage,Groundnut,Cotton,67,Cotton,98
2,Sandy,7.2,Borewell,Available,Kharif,Low,Low Input,Cotton,Wheat,66,Groundnut,98
10,Clay,6.5,Borewell,Limited,Rabi,High,High Input,Rice,Maize,86,Basmati Rice,98
9,Clay,6.3,Borewell,Available,Rabi,Low,Fertilizer Usage,Rice,Rice,87,Sunflower,98
5,Loamy,6.7,Canal,Limited,Kharif,Low,Low Input,Millet,Rice,84,Millet,98
4,Loamy,7.3,Canal,Limited,Kharif,Medium,Fertilizer Usage,Millet,Groundnut,50,Millet,98
10,Loamy,7.4,Borewell,Limited,Kharif,Low,Fertilizer Usage,Rice,Groundnut,57,Cotton,98
7,Loamy,6.4,Rainfed,Available,Summer,Medium,Fertilizer Usage,Millet,Maize,74,Green Gram (Moong),98
3,Loamy,6.2,Borewell,Available,Rabi,High,Low Input,Maize,Wheat,88,Sunflower,98
1,Sandy,5.6,Canal,Available,Summer,High,High Input,Millet,Millet,61,Sunflower,97
7,Sandy,6.8,Borewell,Available,Rabi,Medium,Low Input,Millet,Maize,78,Green Gram (Moong),98
9,Sandy,7.3,Canal,Available,Summer,Medium,High Input,Maize,Millet,58,Sunflower,98
6,Loamy,6.6,Canal,Limited,Summer,Medium,High Input,Rice,Rice,74,Green Gram (Moong),98
2,Loamy,5.5,Borewell,Limited,Summer,High,Low Input,Groundnut,Groundnut,59,Green Gram (Moong),98
4,Loamy,6.0,Canal,Available,Rabi,Medium,Low Input,Cotton,Groundnut,75,Mustard,98
9,Sandy,6.1,Borewell,Limited,Rabi,Medium,Fertilizer Usage,Millet,Rice,87,Sunflower,98
6,Sandy,7.1,Canal,Available,Summer,Low,Fertilizer Usage,Groundnut,Millet,61,Groundnut,98
7,Sandy,6.4,Borewell,Limited,Kharif,Low,High Input,Maize,Rice,90,Millet,97
